Conservative tracer analysis results
Time (days),Chn-1,Chn-2,Mean C,Mean C Obs,Residuals,Stdized Residuals
16.8,30.2356248492924,0.000257796380008216,30.2358826456724,30.2358827685404,-1.22867998442189e-07,22
17.6,46.4026120006452,0.000915149362693448,46.4035271500079,46.4035272511864,-1.01178542877278e-07,23
18.4,66.5080617064031,0.00285519609606594,66.5109169024992,66.5109169464794,-4.39801937091033e-08,24
19.2,89.7932909975256,0.00795674597137288,89.8012477434969,89.8012476950009,4.84960338553719e-08,25
20,115.022404792348,0.0200766716134339,115.042481463961,115.042481295694,1.68267249023302e-07,26
20.8,140.649514037599,0.0463977175255586,140.695911755125,140.695911453992,3.01132928370862e-07,27
21.6,165.031246116085,0.0991748641983374,165.130420980283,165.130420550548,4.29735251827879e-07,28
22.4,186.637181993137,0.197719679118037,186.834901672255,186.834901135093,5.37162151204029e-07,29
23.2,204.220281027535,0.370323591927051,204.590604619462,204.59060400937,6.10091717589967e-07,30
24,216.925361763706,0.655717332815606,217.581079096521,217.581078455676,6.40845399857426e-07,31
24.8,224.330308238161,1.10363312219375,225.433941360355,225.433940732266,6.28088713483521e-07,32
25.6,226.427780974343,1.77409928054481,228.201880254888,228.201879678591,5.76296571352941e-07,33
26.4,223.56305982459,2.73524958303543,226.298309407625,226.298308913295,4.9433015192335e-07,34
27.2,216.346336260267,4.05964419155132,220.405980451818,220.40598005824,3.93578204693767e-07,35
28,205.55651333514,5.81933250766947,211.375845842809,211.375845556749,2.86060497955987e-07,36
28.8,192.049947209217,8.08009474316197,200.130041952378,200.13004176957,1.82808491899777e-07,37
29.6,176.683032137878,10.895440413675,187.578472551553,187.578472458846,9.27069265799219e-08,38
30.4,160.253165883767,14.3009960345843,174.554161918351,174.554161896497,2.18539923935168e-08,39
31.2,143.459068073766,18.3098771212673,161.768945195034,161.768945221642,-2.66084612121631e-08,40
32,126.878912913927,22.9095237594281,149.788436673355,149.788436725621,-5.22660172919132e-08,41
32.8,110.963263003496,28.0603086369963,139.023571640493,139.023571697445,-5.69521887427982e-08,42
33.6,96.0391806017335,33.696030920525,129.735211522259,129.735211566378,-4.41194458744576e-08,43
34.4,82.3219121885811,39.7262174853631,122.048129673944,122.048129692133,-1.81888140105002e-08,44
35.2,69.9309581851237,46.0399884159183,115.970946601042,115.970946584983,1.60589905817687e-08,45
36,58.9079554500727,52.5111223140222,111.419077764095,111.419077710101,5.3993844062461e-08,46
36.8,49.2344693555141,59.0038862870808,108.238355642595,108.238355551086,9.15089373165756e-08,47
37.6,40.8484190429075,65.3791753529705,106.227594395878,106.227594270607,1.25271014894679e-07,48
38.4,33.6583908113463,71.5005302476801,105.158921059026,105.158920906191,1.52835440303534e-07,49
39.2,27.5555095852892,77.2396612664979,104.795170851787,104.795170679118,1.72669118114754e-07,50
40,22.4228377158178,82.4811870878392,104.904024803657,104.904024619573,1.84083972953886e-07,51
