Conservative tracer design
Time,Chn-1,Chn-2,Mean C
0.08,0,0,0
0.8,4.35905721189202e-148,7.4625609202214e-288,4.35905721189202e-148
1.6,2.55409624524443e-68,6.01097225687789e-138,2.55409624524443e-68
2.4,7.21632413389123e-42,4.46661447590185e-88,7.21632413389123e-42
3.2,9.77602369749607e-29,3.32824556305446e-63,9.77602369749607e-29
4,6.28201967977322e-21,2.50447886134674e-48,6.28201967977322e-21
4.8,8.82955789968757e-16,1.90199398791319e-38,8.82955789968757e-16
5.6,3.75642606246623e-12,2.02250582690989e-31,3.75642606246623e-12
6.4,1.79840508803835e-09,3.54480722390767e-26,1.79840508803835e-09
7.2,2.00887459095648e-07,4.02789703282124e-22,2.00887459095648e-07
8,8.10753223336506e-06,6.74707974618517e-19,8.10753223336573e-06
8.8,0.000156133619664817,2.80985726939093e-16,0.000156133619665098
9.6,0.00172692448343718,4.12160280145908e-14,0.00172692448347839
10.4,0.0124716182794232,2.71000447577344e-12,0.0124716182821332
11.2,0.0644487848943233,9.4878864847769e-11,0.0644487849892021
12,0.254859241833818,2.00671267143542e-09,0.254859243840531
12.8,0.811023104957604,2.81852981785415e-08,0.811023133142903
13.6,2.15832620612543,2.82623175648569e-07,2.15832648874861
14.4,4.94923287402609,2.14031202786212e-06,4.94923501433812
15.2,10.012511036825,1.27972858364912e-05,10.0125238341108
16,18.2106977655735,6.25973835912727e-05,18.2107603629571
16.8,30.2356249721885,0.000257796351930448,30.2358827685404
17.6,46.402612101915,0.000915149271443738,46.4035272511864
18.4,66.5080617506443,0.00285519583513084,66.5109169464794
19.2,89.7932909496966,0.0079567453042621,89.8012476950009
20,115.022404625626,0.0200766700680278,115.042481295694
20.8,140.649513739747,0.0463977142447665,140.695911453992
21.6,165.031245692794,0.0991748577539302,165.130420550548
22.4,186.637181467784,0.197719667308632,186.834901135093
23.2,204.220280437776,0.37032357159477,204.59060400937
24,216.925361155952,0.655717299724407,217.581078455676
24.8,224.330307661253,1.10363307101235,225.433940732266
25.6,226.427780473624,1.77409920496707,228.201879678591
26.4,223.563059437243,2.73524947605237,226.298308913295
27.2,216.346336012374,4.05964404586547,220.40598005824
28,205.55651324053,5.81933231621859,211.375845556749
28.8,192.04994726987,8.08009449970013,200.13004176957
29.6,176.683032345497,10.8954401133484,187.578472458846
30.4,160.253166222059,14.3009956744378,174.554161896497
31.2,143.459068521016,18.3098767006264,161.768945221642
32,126.878913445506,22.9095232801155,149.788436725621
32.8,110.96326359408,28.0603081033641,139.023571697445
33.6,96.0391812270757,33.6960303393019,129.735211566378
34.4,82.3219128267972,39.7262168653361,122.048129692133
35.2,69.9309588174993,46.0399877674836,115.970946584983
36,58.9079560614535,52.5111216486477,111.419077710101
36.8,49.2344699343579,59.0038856167279,108.238355551086
37.6,40.8484195810872,65.37917468952,106.227594270607
38.4,33.6583913037881,71.500529602403,105.158920906191
39.2,27.5555100295172,77.2396606496012,104.795170679118
40,22.4228381114643,82.4811865081092,104.904024619573
40.8,18.1424676204049,87.1263893147289,105.268856935134
41.6,14.6005859086207,91.0958802822903,105.696466190911
42.4,11.6908449314041,94.3311557006382,106.022000632042
43.2,9.3163713790437,96.7950956102975,106.111466989341
44,7.39073291220354,98.4715135510071,105.862246463211
44.8,5.83813806888491,99.3639045178579,105.202042586743
45.6,4.59310276441577,99.493560263082,104.086663027498
46.4,3.59977089801317,98.8972282404768,102.49699913849
47.2,2.81103425289118,97.6244854236407,100.435519676532
48,2.18755972528918,95.7349838872934,97.9225436125826
48.8,1.69680079537774,93.2957043682673,94.992505163645
49.6,1.31204509457822,90.3783297236056,91.6903748181838
50.4,1.01153046957101,87.0568245906303,88.0683550602013
51.2,0.777647375574536,83.4052824747206,84.1829298502951
52,0.596234937793121,79.4960783100051,80.0923132477983
52.8,0.455970797018328,75.398344167012,75.8543149640303
53.6,0.347850169953361,71.1767687311247,71.5246189010781
54.4,0.264746773400277,66.8907076286706,67.1554544020709
55.2,0.201046859481562,62.5935815610527,62.7946284205343
56,0.152347167523317,58.3325322660822,58.4848794336055
56.8,0.115207792963492,54.1483021857782,54.2635099787417
57.6,0.0869515616129872,50.075301943709,50.162253505322
58.4,0.0655023023197502,46.1418298643237,46.2073321666434
59.2,0.0492553089527433,42.3704093556404,42.4196646645931
60,0.0369741907283608,38.7782126137841,38.8151868045125
60.8,0.0277091757891639,35.3775424307004,35.4052516064895
61.6,0.0207327262588512,32.1763475883641,32.197080314623
62.4,0.015489028907575,29.178751155185,29.1942401840926
63.2,0.0115545397228798,26.3855747700065,26.3971293097294
64,0.00860728547868837,23.7948455640219,23.8034528495005
64.8,0.00640306722218886,21.4022756337607,21.4086787009829
65.6,0.00475707794764958,19.2017068795051,19.2064639574528
66.4,0.00352974888960316,17.1855165342626,17.1890462831522
67.2,0.00261588509973901,15.3449808239707,15.3475967090705
68,0.00193634997912814,13.6705959330384,13.6725322830176
68.8,0.00143171810227974,12.1523568263656,12.1537885444679
69.6,0.00105744292944953,10.7799955334348,10.7810529763642
70.4,0.000780186833639655,9.54318127025992,9.54396145709356
71.2,0.000575040326634584,8.43168530084226,8.43226034116889
72,0.000423419674985896,7.43551376076043,7.43593718043542
72.8,0.000311480732423845,6.5450118190189,6.54532329975133
73.6,0.000228924620205678,5.75094257463967,5.75117149925987
74.4,0.000168100159082785,5.04454400241544,5.04471210257453
75.2,0.000123330539946462,4.41756710451599,4.41769043505594
76,9.04090845281243e-05,3.86229821406811,3.86238862315264
76.8,6.6222256871194e-05,3.37156815242204,3.37163437467891
